home_details,graphs_and_data,map_this_home,comparables,street,zipcode,city,state,latitude,longitude,amount,amount_currency,amount_last_updated,amount_change_30days,valuation_range_low,valuation_range_high,region_name,region_id,region_type,overview_link,fsbo_link,sale_link,zillow_home_value_index,fips_county,usecode,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathrooms,bedrooms,last_sold_date,last_sold_price,complete
https://www.zillow.com/homedetails/1703-Via-Encantadoras-San-Ysidro-CA-92173/111434535_zpid/,http://www.zillow.com/homedetails/1703-Via-Encantadoras-San-Ysidro-CA-92173/111434535_zpid/#charts-and-data,http://www.zillow.com/homes/111434535_zpid/,http://www.zillow.com/homes/comps/111434535_zpid/,1703 Via Encantadoras,92173,San Ysidro,CA,32.565261,-117.061619,510747,USD,11/2/2019,10694,485210,536284,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,SingleFamily,2018,159664,1979,6499,1795,2,4,,,TRUE
https://www.zillow.com/homedetails/1705-Via-Encantadoras-San-Ysidro-CA-92173/17174251_zpid/,http://www.zillow.com/homedetails/1705-Via-Encantadoras-San-Ysidro-CA-92173/17174251_zpid/#charts-and-data,http://www.zillow.com/homes/17174251_zpid/,http://www.zillow.com/homes/comps/17174251_zpid/,1705 Via Encantadoras,92173,San Ysidro,CA,32.565264,-117.06145,461296,USD,11/2/2019,2140,438231,484361,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,SingleFamily,2018,203570,1979,6490,1103,2,3,,,TRUE
https://www.zillow.com/homedetails/1707-Via-Encantadoras-San-Ysidro-CA-92173/17174252_zpid/,http://www.zillow.com/homedetails/1707-Via-Encantadoras-San-Ysidro-CA-92173/17174252_zpid/#charts-and-data,http://www.zillow.com/homes/17174252_zpid/,http://www.zillow.com/homes/comps/17174252_zpid/,1707 Via Encantadoras,92173,San Ysidro,CA,32.565266,-117.061285,513237,USD,11/2/2019,1541,487575,538899,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,SingleFamily,2018,436081,1979,6486,1745,2.5,4,9/29/2003,349000,TRUE
https://www.zillow.com/homedetails/1711-Via-Encantadoras-San-Ysidro-CA-92173/17174253_zpid/,http://www.zillow.com/homedetails/1711-Via-Encantadoras-San-Ysidro-CA-92173/17174253_zpid/#charts-and-data,http://www.zillow.com/homes/17174253_zpid/,http://www.zillow.com/homes/comps/17174253_zpid/,1711 Via Encantadoras,92173,San Ysidro,CA,32.565266,-117.061118,477320,USD,11/2/2019,3909,453454,501186,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,SingleFamily,2018,297307,1979,6477,1238,2,4,11/9/2001,229000,TRUE
https://www.zillow.com/homedetails/1715-Via-Encantadoras-San-Ysidro-CA-92173/17174254_zpid/,http://www.zillow.com/homedetails/1715-Via-Encantadoras-San-Ysidro-CA-92173/17174254_zpid/#charts-and-data,http://www.zillow.com/homes/17174254_zpid/,http://www.zillow.com/homes/comps/17174254_zpid/,1715 Via Encantadoras,92173,San Ysidro,CA,32.565277,-117.060943,473479,USD,11/2/2019,4160,449805,497153,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,SingleFamily,2018,278113,1979,7418,1103,2,3,2/28/2011,247000,TRUE
https://www.zillow.com/homedetails/1719-Via-Encantadoras-San-Ysidro-CA-92173/17174255_zpid/,http://www.zillow.com/homedetails/1719-Via-Encantadoras-San-Ysidro-CA-92173/17174255_zpid/#charts-and-data,http://www.zillow.com/homes/17174255_zpid/,http://www.zillow.com/homes/comps/17174255_zpid/,1719 Via Encantadoras,92173,San Ysidro,CA,32.565185,-117.060778,511302,USD,11/2/2019,3458,485737,536867,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,SingleFamily,2018,222620,1979,7823,1745,2.5,4,4/14/1989,135000,TRUE
https://www.zillow.com/homedetails/1723-Via-Encantadoras-San-Ysidro-CA-92173/17174256_zpid/,http://www.zillow.com/homedetails/1723-Via-Encantadoras-San-Ysidro-CA-92173/17174256_zpid/#charts-and-data,http://www.zillow.com/homes/17174256_zpid/,http://www.zillow.com/homes/comps/17174256_zpid/,1723 Via Encantadoras,92173,San Ysidro,CA,32.565162,-117.060569,493028,USD,11/2/2019,9836,443725,547261,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,SingleFamily,2018,458999,1979,6481,1507,2,4,5/4/2017,450000,TRUE
https://www.zillow.com/homedetails/1727-Via-Encantadoras-San-Ysidro-CA-92173/17174257_zpid/,http://www.zillow.com/homedetails/1727-Via-Encantadoras-San-Ysidro-CA-92173/17174257_zpid/#charts-and-data,http://www.zillow.com/homes/17174257_zpid/,http://www.zillow.com/homes/comps/17174257_zpid/,1727 Via Encantadoras,92173,San Ysidro,CA,32.565061,-117.060427,513415,USD,11/2/2019,8151,487744,539086,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,SingleFamily,2018,207769,1979,5074,1734,2,6,,,TRUE
https://www.zillow.com/homedetails/1731-Via-Encantadoras-San-Ysidro-CA-92173/17174258_zpid/,http://www.zillow.com/homedetails/1731-Via-Encantadoras-San-Ysidro-CA-92173/17174258_zpid/#charts-and-data,http://www.zillow.com/homes/17174258_zpid/,http://www.zillow.com/homes/comps/17174258_zpid/,1731 Via Encantadoras,92173,San Ysidro,CA,32.564951,-117.06025,487619,USD,11/2/2019,1976,463238,512000,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,SingleFamily,2018,192562,1965,10200,1488,2,3,,,TRUE
https://www.zillow.com/homedetails/1737-Via-Encantadoras-San-Ysidro-CA-92173/17174259_zpid/,http://www.zillow.com/homedetails/1737-Via-Encantadoras-San-Ysidro-CA-92173/17174259_zpid/#charts-and-data,http://www.zillow.com/homes/17174259_zpid/,http://www.zillow.com/homes/comps/17174259_zpid/,1737 Via Encantadoras,92173,San Ysidro,CA,32.564843,-117.060073,476162,USD,11/2/2019,4356,452354,499970,San Ysidro,117892,neighborhood,http://www.zillow.com/local-info/CA-San-Diego/San-Ysidro/r_117892/,http://www.zillow.com/san-ysidro-san-diego-ca/fsbo/,http://www.zillow.com/san-ysidro-san-diego-ca/,,6073,SingleFamily,2018,194170,1978,5379,1238,2,4,7/20/1993,130000,TRUE
